name,TN_raw,TOC_raw,d13Corg,mass_before_leach,mass_after_leach
KC-2-0,0.1169629,2.9467493,-23.786,0.12,0.155
KC-2-1,0.0782178,1.5524583,-25.429,0.104,0.085
KC-2-2,0.1332834,3.0468442,-26.574,0.139,0.139
KC-2-2.5,0.2725008,9.0114821,-23.487,0.199,0.205
KC-2-3,0.2629657,8.3874301,-24.733,0.141,0.142
KC-2-3.5,0.22,6.854,-24.698,0.119,0.116
KC-2-4.5,0.1992897,5.9759962,-24.645,0.101,0.103
KC-2-5,0.2099294,5.7787487,-25.04,0.132,0.131
KC-2-6,0.2334809,7.6528519,-23.416,0.128,0.131
KC-2-6p,0.2071129,6.2404204,-24.319,0.108,0.112
KC-2-6.5,0.279573,8.4585615,-25.815,0.148,0.152
KC-2-7,0.4870532,17.6912876,-24.131,0.096,0.097
KC-2-8,0.2003365,6.1903432,-24.295,0.126,0.13
KC-2-9,0.2141486,6.3364775,-25.852,0.133,0.133
KC-2-10,0.2668922,8.6477455,-24.179,0.101,0.106
KC-2-11,0.4040725,13.2156214,-23.81,0.117,0.119
KC-2-12,0.2184742,6.4607779,-25.44,0.11,0.104
KC-2-13,0.2291196,6.5751305,-25.477,0.112,0.112
KC-2-14,0.275333,8.1155658,-25.789,0.112,0.116
KC-2-14.5,0.395204,14.4065475,-23.894,0.105,0.11
KC-2-15,0.1828268,5.0427277,-25.909,0.126,0.124
KC-2-15.5,0.2821587,8.4449925,-25.167,0.113,0.114
KC-2-16,0.3757015,12.9048159,-24.751,0.111,0.118
KC-2-17,0.1641547,3.7793625,-26.402,0.121,0.121
KC-2-18,0.403622,13.6203072,-25.077,0.117,0.121
KC-2-19,0.2407441,6.8971899,-25.83,0.118,0.119
KC-2-20,0.2185614,6.3591103,-26.327,0.119,0.127
KC-2-21,0.1607892,3.5374573,-26.791,0.163,0.163
KC-2-21.5,0.3315218,10.3288701,-24.652,0.118,0.119
KC-2-22,0.2427237,8.67559,-23.487,0.154,0.165
KC-2-22p,0.1256579,4.9153775,-22.639,0.138,0.15
KC-2-23,0.3421506,10.6033819,-25.052,0.135,0.135
KC-2-24,0.4655099,16.2044756,-23.758,0.127,0.127
KC-2-25,0.2433148,7.2298917,-25.107,0.128,0.128
KC-2-25.5,0.404645,13.9798235,-22.797,0.171,0.174
KC-2-26,0.4717611,17.5530309,-23.102,0.113,0.119
KC-2-26.5,0.2188369,6.1327371,-24.849,0.156,0.156
KC-2-27,0.2485703,7.1547967,-24.923,0.136,0.144
KC-2-28,0.2755802,9.0382256,-24.69,0.114,0.116
KC-2-29,0.2035241,5.949783,-24.962,0.135,0.136
KC-2-30,0.0798011,2.461895,-22.41,0.132,0.213
KC-3-A,0.3000178,10.5302032,-24.322,0.113,0.122
KC-3-B,0.233845,8.3247549,-23.733,0.101,0.108
KC-3-C,0.1885774,6.6606432,-23.208,0.104,0.114
KC-3-D,0.1202739,3.8079363,-23.97,0.121,0.146
KC-3-E,0.3478578,12.1892577,-24.441,0.099,0.101
KC-3-F,0.3304888,12.5459354,-23.621,0.112,0.123
KC-3-G,0.2382023,8.5853922,-24.509,0.103,0.114
KC-3-H,0.2685686,8.392802,-25.652,0.107,0.112
KC-3-I,0.2789149,8.6395241,-25.841,0.105,0.109
KC-3-J,0.2218006,8.4203409,-23.499,0.108,0.115
KC-3-K,0.2872695,10.1650475,-23.533,0.105,0.107
