name,CaCO3,CaCO3_err,mass_before_leach,mass_after_leach,effervescence,effervescence_err
KC-2-0,268.0109254,7.575860354,0.12,0.155,4,1
KC-2-1,-167.8749753,-6.33184624,0.104,0.085,3,1
KC-2-2,0,,0.139,0.139,1,1
KC-2-2.5,27.70536487,2.172507078,0.199,0.205,4,1
KC-2-3,6.51698299,3.012158181,0.141,0.142,2,1
KC-2-3.5,-23.16541012,-3.612758641,0.119,0.116,0,0
KC-2-4.5,18.1959327,4.235261529,0.101,0.103,3,1
KC-2-5,-6.961322739,-3.218013286,0.132,0.131,0,0
KC-2-6,21.53659222,3.352777162,0.128,0.131,4,1
KC-2-6p,34.03313339,4.040521427,0.108,0.112,3,1
KC-2-6.5,24.83498923,2.910515542,0.148,0.152,3,1
KC-2-7,9.571818766,4.42952846,0.096,0.097,3,1
KC-2-8,29.17125719,3.438062446,0.126,0.13,4,1
KC-2-9,0,,0.133,0.133,0,0
KC-2-10,45.48983176,4.412598409,0.101,0.106,4,1
KC-2-11,15.70760003,3.648487181,0.117,0.119,3,1
KC-2-12,-50.12152372,-4.092015045,0.11,0.104,2,1
KC-2-13,0,,0.112,0.112,2,1
KC-2-14,32.81766434,3.888728477,0.112,0.116,3,1
KC-2-14.5,43.75688579,4.229600749,0.105,0.11,4,1
KC-2-15,-14.5856286,-3.385036145,0.126,0.124,0,0
KC-2-15.5,8.131810633,3.760751024,0.113,0.114,2,1
KC-2-16,57.94830821,4.130628743,0.111,0.118,4,1
KC-2-17,0,,0.121,0.121,2,1
KC-2-18,31.41520005,3.714579799,0.117,0.121,3,1
KC-2-19,7.787242386,3.600904901,0.118,0.119,1,1
KC-2-20,61.77442699,3.890535944,0.119,0.127,4,1
KC-2-21,0,,0.163,0.163,0,0
KC-2-21.5,7.787242386,3.600904901,0.118,0.119,2,1
KC-2-22,65.63532868,3.037212057,0.154,0.165,4,1
KC-2-22p,79.90387839,3.531162231,0.138,0.15,4,1
KC-2-23,0,,0.135,0.135,0,0
KC-2-24,0,,0.127,0.127,0,0
KC-2-25,0,,0.128,0.128,0,0
KC-2-25.5,16.12095792,2.497144278,0.171,0.174,0,0
KC-2-26,48.7908638,3.971715878,0.113,0.119,3,1
KC-2-26.5,0,,0.156,0.156,0,0
KC-2-27,54.05262362,3.33968593,0.136,0.144,3,1
KC-2-28,16.12095792,3.745716416,0.114,0.116,2,1
KC-2-29,6.806626678,3.146334741,0.135,0.136,1,1
KC-2-30,563.8671419,13.21207643,0.132,0.213,4,1
KC-3-A,73.1862957,4.227515277,0.113,0.122,4,1
KC-3-B,63.68576446,4.606917919,0.101,0.108,4,1
KC-3-C,88.35525015,4.810190236,0.104,0.114,4,1
KC-3-D,189.8542565,5.869524522,0.121,0.146,4,1
KC-3-E,18.5635273,4.322257996,0.099,0.101,3,1
KC-3-F,90.24857694,4.493682239,0.112,0.123,4,1
KC-3-G,98.13437492,5.013632089,0.103,0.114,4,1
KC-3-H,42.93900007,4.14382258,0.107,0.112,3,1
KC-3-I,35.00550863,4.162552752,0.105,0.109,3,1
KC-3-J,59.55798343,4.262522708,0.108,0.115,4,1
KC-3-K,17.50275432,4.071438236,0.105,0.107,3,1
