name,category,height,d34S
KC-2-0,Carbonate,0.94,-18.14073789
KC-2-1,Mudstone,1.38,-21.86956663
KC-2-2,Mudstone,1.68,-15.14469553
KC-2-2.5,Mudstone,2.13,-12.37215476
KC-2-3,Mudstone,2.6,-15.16515465
KC-2-3.5,Mudstone,3,-17.45419747
KC-2-4.5,Mudstone,4.51,-17.44679647
KC-2-5,Mudstone,5.16,-20.15404185
KC-2-6,Mudstone,6.15,-15.44814359
KC-2-6p,Pervasively pyritised regions,6.15,-15.23074696
KC-2-6.5,Mudstone,6.5,-19.97514784
KC-2-7,Mudstone,7.27,-21.38407639
KC-2-8,Mudstone,7.71,-11.96650959
KC-2-9,Mudstone,8.2,-18.53101576
KC-2-9p,Pervasively pyritised regions,8.2,-21.92503612
KC-2-10,Mudstone,8.64,-9.337577378
KC-2-11,Mudstone,9.47,-18.96754657
KC-2-12,Mudstone,9.91,-7.730195958
KC-2-13,Mudstone,10.73,-16.66040202
KC-2-14,Mudstone,11.19,-19.60292413
KC-2-14.5,Mudstone,11.66,-12.59308546
KC-2-15,Mudstone,12.2,-17.67596477
KC-2-15.5,Mudstone,12.78,-21.37949194
KC-2-16,Mudstone,13.28,-21.62318297
KC-2-17,Mudstone,13.69,-18.51302717
KC-2-18,Mudstone,14.12,-25.11912641
KC-2-19,Mudstone,14.67,-21.6541267
KC-2-20,Mudstone,15.12,-19.72069377
KC-2-21,Mudstone,15.61,-20.31707852
KC-2-21.5,Mudstone,16.21,-19.67035559
KC-2-22,Mudstone,17.01,-14.17176952
KC-2-22p,Pervasively pyritised regions,17.01,-6.815933729
KC-2-23,Mudstone,17.42,-20.65241682
KC-2-24,Mudstone,18.21,-22.35892252
KC-2-25,Mudstone,18.98,-22.21257998
KC-2-25.5,Mudstone,19.33,-20.64156649
KC-2-26,Mudstone,19.73,-18.04622129
KC-2-26.5,Mudstone,20.16,-25.62685415
KC-2-27,Mudstone,20.84,-22.27143605
KC-2-28,Mudstone,21.44,-21.43284487
KC-2-29,Mudstone,21.77,-12.77728557
KC-2-30,Carbonate,22.21,
KC-3-A,Bed 22,11.66,-12.10398594
KC-3-B,Bed 22,11.66,-12.98435082
KC-3-C,Bed 22,11.66,-7.048300156
KC-3-D,Bed 22,11.66,-8.396923068
KC-3-E,Bed 22,11.66,-14.81571816
KC-3-F,Bed 22,11.66,-13.98531974
KC-3-G,Bed 22,11.66,-8.657675425
KC-3-H,Bed 22,11.66,-15.664116
KC-3-I,Bed 22,11.66,-21.27875505
KC-3-J,Bed 22,11.66,-9.487401368
KC-3-K,Bed 22,11.66,-16.45226955
