,name,Fe_tot,Fe_carb,Fe_ox,Fe_mag,Fe_py,d34S,d34S_err,category,height,MB_bed,MB_lithology,py_index,fossil_index,biodiversity,phi,description,Fe_HR,Fe_UR,HR_to_tot,py_to_HR,py_to_tot,H2S_decay,Fe_py_err,Fe_ox_err,Fe_mag_err,Fe_carb_err,Fe_tot_err,Fe_HR_err,Fe_UR_err,HR_to_tot_err,py_to_HR_err,py_to_tot_err
0,KC-2-0,5.582999999999999,4.45,0.35,0.08,0.49,-18.14073789285852,1.0229736396542604,Carbonate,0.94,3,Limestone,,0,0,4,"cracked upper surface, sparse fossil impressions. Micropeloidal?",5.37,0.2129999999999992,0.9618484685652876,0.09124767225325885,0.08776643381694431,2.0408163265306123,0.012740000000000001,0.0154,0.0035200000000000006,0.24030000000000004,0.41872499999999996,0.2411554436457946,0.48320448427658447,0.08408184122147166,0.0047349715997677295,0.006966797574786608
1,KC-2-1,5.757000000000001,3.65,0.55,0.29,0.63,-21.86956663455417,1.0229736396542604,Mudstone,1.38,4,Med. dark grey marl,0.0,1,2,5,sandy marl? sparse aragonite fossils,5.12,0.6370000000000005,0.8893520931040472,0.123046875,0.10943199583116206,1.5873015873015872,0.016380000000000002,0.024200000000000003,0.01276,0.19710000000000003,0.431775,0.1996626454798193,0.47570455392501765,0.07517911409505977,0.005767126600274573,0.008686584722705344
2,KC-2-2,2.6010000000000004,0.27,0.05,0.02,0.94,-15.14469553388479,1.0229736396542604,Mudstone,1.68,5,Med. dark grey marl,0.0,1,1,5,sandy marl? sparse aragonite fossils. Poor undulose lamination,1.28,1.3210000000000004,0.4921184159938484,0.7343749999999999,0.36139946174548243,1.0638297872340425,0.02444,0.0022,0.0008800000000000001,0.014580000000000003,0.19507500000000003,0.028557037661494235,0.19715415294890445,0.03850726571670308,0.02515965304014359,0.02868746950421863
3,KC-2-2.5,3.963,1.13,0.14,0.62,0.73,-12.37215476264356,1.0229736396542604,Mudstone,2.13,5,Med. dark grey marl,0.0,1,1,5,"better, more // lamination",2.62,1.343,0.6611153166792834,0.27862595419847325,0.18420388594499115,1.36986301369863,0.01898,0.006160000000000001,0.027280000000000002,0.061020000000000005,0.297225,0.06975546430208891,0.30530071310922285,0.05261518240662482,0.010368664425330631,0.014621890511632882
4,KC-2-3,3.8089999999999997,0.5,0.14,0.08,1.84,-15.165154651947965,1.0229736396542604,Mudstone,2.6,6,Greyish black - brownish black mudstone,1.0,2,3,5,"good x-lam, sparse aragonite fossils",2.56,1.2489999999999997,0.6720924127067472,0.71875,0.4830664216329746,0.5434782608695652,0.04784000000000001,0.006160000000000001,0.0035200000000000006,0.027000000000000003,0.28567499999999996,0.05538954413966594,0.2909952013779608,0.052462570672598186,0.024311817213537156,0.038345251462680696
5,KC-2-3.5,3.641,0.63,0.16,0.08,1.58,-17.454197467451223,1.0229736396542604,Mudstone,3.0,7,Med. dark grey - greenish black shale,0.0,3,2,5,~5% aragonite fossils,2.45,1.1909999999999998,0.6728920626201593,0.6448979591836734,0.43394671793463335,0.6329113924050632,0.041080000000000005,0.007040000000000001,0.0035200000000000006,0.03402,0.273075,0.05391547829705307,0.27834660843092734,0.0525945023340388,0.021967064979984685,0.034446186436140065
6,KC-2-4.5,4.918,1.36,0.27,0.99,1.28,-17.446796471053432,1.0229736396542604,Mudstone,4.51,7,Med. dark - dark grey shale,2.0,4,4,4,"~10% aragonite fossils, fine sand shell fragments",3.9000000000000004,1.0179999999999998,0.7930052867019114,0.3282051282051282,0.26026840178934524,0.78125,0.033280000000000004,0.011880000000000002,0.04356,0.07344000000000002,0.36885,0.09240995617356393,0.38024981591054063,0.062373011106608166,0.011545388830336253,0.020659803429651607
7,KC-2-5,3.323,0.37,0.11,0.09,1.36,-20.154041853687595,1.0229736396542604,Mudstone,5.16,8,Dark grey - greenish black - olive black laminated shale,0.0,2,2,6,sparse aragonite shells (inc Protocardium) and a few fine sand shell fragments. Some rusty patches,1.9300000000000002,1.3929999999999998,0.5808004814926272,0.7046632124352331,0.40926873307252487,0.7352941176470588,0.03536,0.0048400000000000006,0.00396,0.01998,0.24922499999999997,0.04109303103933805,0.2525900588404064,0.04528135105448314,0.02368064306908506,0.03248727666151543
8,KC-2-6,4.407,1.44,0.27,0.83,1.26,-15.448143590666087,1.0229736396542604,Mudstone,6.15,10,Greyish black - brownish black mudstone,1.0,4,4,5,"~10% aragonite fossils (inc Lucida), fine sand shell fragments, rusty patches",3.8,0.6070000000000002,0.8622645790787383,0.3315789473684211,0.2859087814840027,0.7936507936507936,0.032760000000000004,0.011880000000000002,0.036520000000000004,0.07776000000000001,0.330525,0.092707496999973,0.34328043291891835,0.06800529066981365,0.011822077334211086,0.02269510698825263
9,KC-2-6p,4.14,0.97,0.2,0.42,1.64,-15.230746961930306,1.0229736396542604,Pervasively pyritised regions,6.15,10,Greyish black - brownish black mudstone,3.0,4,4,5,,3.2299999999999995,0.9100000000000001,0.7801932367149758,0.5077399380804954,0.3961352657004831,0.6097560975609756,0.042640000000000004,0.0088,0.01848,0.05238,0.31049999999999994,0.07057467251075275,0.31841958859341546,0.060947082235862184,0.017243817884458185,0.03144475727617822
