name,d34S,height,d34S_err
KC-2-0,-18.353077206933357,0.94,1.0229736396542606
KC-2-1,-22.10250328834504,1.38,1.0229736396542606
KC-2-10,-9.501289709734493,8.64,1.0229736396542606
KC-2-11,-19.184453016049687,9.47,1.0229736396542606
KC-2-12,-7.885029421698455,9.91,1.0229736396542606
KC-2-13,-16.86456423931524,10.73,1.0229736396542606
KC-2-14,-19.823340279977522,11.19,1.0229736396542606
KC-2-14.5,-12.774780595642031,11.66,1.0229736396542606
KC-2-15,-17.885736769144437,12.2,1.0229736396542606
KC-2-15.5,-21.609721513271815,12.78,1.0229736396542606
KC-2-16,-21.854758651609085,13.28,1.0229736396542606
KC-2-17,-18.72742294090296,13.69,1.0229736396542606
KC-2-18,-25.370013009006282,14.12,1.0229736396542606
KC-2-19,-21.885873304202335,14.67,1.0229736396542606
KC-2-2,-15.340485280643392,1.68,1.0229736396542606
KC-2-2.5,-12.552629522284828,2.13,1.0229736396542606
KC-2-20,-19.941760463535232,15.12,1.0229736396542606
KC-2-21,-20.541439521965884,15.61,1.0229736396542606
KC-2-21.5,-19.891144224106924,16.21,1.0229736396542606
KC-2-22,-14.362185011718662,17.01,1.0229736396542606
KC-2-22p,-6.965716982446644,17.01,1.0229736396542606
KC-2-23,-20.878630171256784,17.42,1.0229736396542606
KC-2-24,-22.594562282592875,18.21,1.0229736396542606
KC-2-25,-22.447411374169562,18.98,1.0229736396542606
KC-2-25.5,-20.867719906733605,19.33,1.0229736396542606
KC-2-26,-18.258038508409335,19.73,1.0229736396542606
KC-2-26.5,-25.88054534025082,20.16,1.0229736396542606
KC-2-27,-22.50659255588306,20.84,1.0229736396542606
KC-2-28,-21.663369159099105,21.44,1.0229736396542606
KC-2-29,-12.959998199059186,21.77,1.0229736396542606
KC-2-3,-15.361057410977772,2.6,1.0229736396542606
KC-2-3.5,-17.662744462985714,3.0,1.0229736396542606
KC-2-4.5,-17.655302584893533,4.51,1.0229736396542606
KC-2-5,-20.377502275355578,5.16,1.0229736396542606
KC-2-6,-15.645609526690716,6.15,1.0229736396542606
KC-2-6.5,-20.197620085819523,6.5,1.0229736396542606
KC-2-6p,-15.427012040386682,6.15,1.0229736396542606
KC-2-7,-21.61433128904855,7.27,1.0229736396542606
KC-2-8,-12.144743646542317,7.71,1.0229736396542606
KC-2-9,-18.745510894054796,8.2,1.0229736396542606
KC-2-9p,-22.158279179478562,8.2,1.0229736396542606
KC-3-A,-12.282979386639557,11.66,1.0229736396542606
KC-3-B,-13.168207234894695,11.66,1.0229736396542606
KC-3-C,-7.199366957294256,11.66,1.0229736396542606
KC-3-D,-8.555439405420938,11.66,1.0229736396542606
KC-3-E,-15.009690693608327,11.66,1.0229736396542606
KC-3-F,-14.174705312323628,11.66,1.0229736396542606
KC-3-G,-8.817632108712644,11.66,1.0229736396542606
KC-3-H,-15.862774928163958,11.66,1.0229736396542606
KC-3-I,-21.508428171547195,11.66,1.0229736396542606
KC-3-J,-9.651941299056563,11.66,1.0229736396542606
KC-3-K,-16.655282091281546,11.66,1.0229736396542606
