,run_no,name,data_type,group,height,d34S_raw,NBS_itp,S3_itp,d34S_corrected,d34S_err
0,1,NBS,standard,0,,21.912,21.97991826923077,-25.862503311258283,20.225469718780502,0.31705604739194637
1,2,NBS,standard,0,,22.039,21.98535096153846,-25.877569536423845,20.358846691550113,0.31705604739194637
2,3,NBS,standard,0,,21.85,21.990783653846155,-25.89263576158941,20.145642982118765,0.31705604739194637
3,4,NBS,standard,0,,22.006999999999998,21.996216346153847,-25.907701986754972,20.311818278057935,0.31705604739194637
4,5,NBS,standard,0,,22.099,22.00164903846154,-25.922768211920534,20.40664554258567,0.31705604739194637
5,6,NBS,standard,0,,22.054000000000002,22.007081730769233,-25.937834437086096,20.351375814820322,0.31705604739194637
6,8,S3,standard,0,,-25.488000000000003,22.017947115384615,-25.967966887417223,-31.674882116699234,0.31705604739194637
7,9,S3,standard,0,,-26.463,22.023379807692308,-25.983033112582785,-32.7248936560049,0.31705604739194637
8,10,KC-2-2,normal,1,1.68,-10.728,22.0288125,-25.998099337748346,-15.507687616056945,0.31705604739194637
9,12,KC-2-5,normal,1,5.16,-14.937000000000001,22.039677884615386,-26.028231788079474,-20.08610378859591,0.31705604739194637
10,13,KC-2-11,normal,1,9.47,-13.657,22.04511057692308,-26.043298013245035,-18.67739310241352,0.31705604739194637
11,14,KC-2-15,normal,1,12.2,-15.399000000000001,22.05054326923077,-26.058364238410597,-20.567712934913985,0.31705604739194637
12,16,KC-2-19,normal,1,14.67,-14.182,22.061408653846154,-26.088496688741724,-19.217812979871916,0.31705604739194637
13,17,KC-2-23,normal,1,17.42,-16.543,22.066841346153847,-26.103562913907286,-21.780125791132495,0.31705604739194637
14,18,KC-2-27,normal,1,20.84,-16.345,22.07227403846154,-26.118629139072848,-21.552440067142626,0.31705604739194637
15,19,KC-2-22p,duplicate,1,17.01,-3.073,22.077706730769233,-26.133695364238413,-7.087963137087755,0.31705604739194637
16,20,KC-3G,duplicate,1,11.66,-4.8,22.083139423076922,-26.148761589403975,-8.962060795536999,0.31705604739194637
17,21,KC-3-I,duplicate,1,11.66,-15.925999999999998,22.088572115384615,-26.163827814569537,-21.060948656540504,0.31705604739194637
18,22,KC-3-K,duplicate,1,11.66,-12.007,22.094004807692308,-26.1788940397351,-16.787119173479187,0.31705604739194637
19,23,KC-2-25.5,normal,1,19.33,-16.143,22.0994375,-26.19396026490066,-21.273549629369924,0.31705604739194637
20,24,KC-3-A,duplicate,1,11.66,-9.266,22.104870192307693,-26.209026490066226,-13.788964008092705,0.31705604739194637
21,25,KC-2-2 REP,repeat,1,1.68,-11.218,22.110302884615386,-26.224092715231787,-15.900636828648796,0.31705604739194637
22,26,KC-2-22p REP,repeat,1,17.01,-3.3480000000000003,22.11573557692308,-26.23915894039735,-7.346552249423517,0.31705604739194637
23,27,KC-3-I REP,repeat,1,11.66,-14.763,22.12116826923077,-26.25422516556291,-19.72900434793899,0.31705604739194637
24,28,NBS,standard,2,,22.123,22.12660096153846,-26.269291390728476,20.296093666805575,0.31705604739194637
25,29,NBS,standard,2,,22.095,22.132033653846154,-26.284357615894038,20.25984279753336,0.31705604739194637
26,30,NBS,standard,2,,22.074,22.137466346153847,-26.2994238410596,20.231209803928394,0.31705604739194637
27,31,NBS,standard,2,,22.247,22.14289903846154,-26.31449006622516,20.4127856985642,0.31705604739194637
28,32,S3,standard,2,,-25.811,22.148331730769232,-26.329556291390727,-31.63842014558125,0.31705604739194637
29,34,S3,standard,2,,-26.676,22.159197115384615,-26.35968874172185,-32.542265506848416,0.31705604739194637
30,35,S3,standard,2,,-26.576999999999998,22.164629807692307,-26.374754966887412,-32.4187474004403,0.31705604739194637
