run_no,name,data_type,group,height,d34S_raw
1,NBS,standard,0,,26.039
2,NBS,standard,0,,26.379
3,NBS,standard,0,,26.557
4,NBS,standard,0,,26.531
5,NBS,standard,0,,26.797
6,NBS,standard,0,,26.942
8,S3,standard,0,,-22.098
9,S3,standard,0,,-21.627
10,S3,standard,0,,-22.242
12,KC-2-0,normal,1,0.94,-8.877
13,KC-2-1,normal,1,1.38,-12.282
14,KC-2-2,normal,1,1.68,-6.046
16,KC-2-2.5,normal,1,2.13,-3.429
17,KC-2-3,normal,1,2.6,-5.967
18,KC-2-3.5,normal,1,3,-8.038
19,KC-2-4.5,normal,1,4.51,-7.997
20,KC-2-5,normal,1,5.16,-10.447
21,KC-2-6,normal,1,6.15,-6.096
22,KC-2-6p,duplicate,1,6.15,-5.864
23,KC-2-6.5,normal,1,6.5,-10.175
24,KC-2-7,normal,1,7.27,-11.428
25,KC-2-8,normal,1,7.71,-2.782
26,KC-2-9,normal,1,8.2,-8.748
27,KC-2-9p,duplicate,1,8.2,-11.811
28,KC-2-10,normal,1,8.64,-0.293
29,KC-2-11,normal,1,9.47,-9.041
30,KC-2-12,normal,1,9.91,1.228
31,KC-2-13,normal,1,10.73,-6.871
32,KC-2-14,normal,1,11.19,-9.513
34,NBS,standard,2,,26.192
35,NBS,standard,2,,26.95
36,NBS,standard,2,,27.094
37,NBS,standard,2,,26.961
39,S3,standard,2,,-19.158
40,S3,standard,2,,-21.391
41,S3,standard,2,,-21.288
43,KC-2-14.5,normal,3,11.66,-2.956
44,KC-2-15,normal,3,12.2,-7.52
45,KC-2-15.5,normal,3,12.78,-10.839
46,KC-2-16,normal,3,13.28,-11.052
47,KC-2-17,normal,3,13.69,-8.262
48,KC-2-18,normal,3,14.12,-14.168
49,KC-2-19,normal,3,14.67,-11.063
50,KC-2-20,normal,3,15.12,-9.331
51,KC-2-21,normal,3,15.61,-9.859
52,KC-2-21.5,normal,3,16.21,-9.278
53,KC-2-22,normal,3,17.01,-4.377
54,KC-2-22p,duplicate,3,17.01,2.168
55,KC-2-23,normal,3,17.42,-10.139
56,KC-2-24,normal,3,18.21,-11.65
57,KC-2-25,normal,3,18.98,-11.514
58,KC-2-25.5,normal,3,19.33,-10.115
59,KC-2-26,normal,3,19.73,-7.811
60,KC-2-26.5,normal,3,20.16,-14.518
61,KC-2-27,normal,3,20.84,-11.542
62,KC-2-28,normal,3,21.44,-10.795
64,NBS,standard,4,,26.582
65,NBS,standard,4,,26.319
66,NBS,standard,4,,25.089
68,S3,standard,4,,-19.074
69,S3,standard,4,,-20.763
70,S3,standard,4,,-20.798
72,KC-2-29,normal,5,21.77,-2.989
73,KC-3-A,duplicate,5,11.66,-2.365
74,KC-3-B,duplicate,5,11.66,-3.11
75,KC-3-C,duplicate,5,11.66,2.149
76,KC-3-D,duplicate,5,11.66,0.991
77,KC-3-E,duplicate,5,11.66,-4.63
78,KC-3-F,duplicate,5,11.66,-3.868
79,KC-3-G,duplicate,5,11.66,0.851
80,KC-3-H,duplicate,5,11.66,-5.283
81,KC-3-I,duplicate,5,11.66,-10.19
82,KC-3-J,duplicate,5,11.66,0.211
83,KC-3-K,duplicate,5,11.66,-5.882
85,NBS,standard,6,,24.614
86,NBS,standard,6,,28.255
87,NBS,standard,6,,26.631
89,S3,standard,6,,-19.69
90,S3,standard,6,,-18.607
91,S3,standard,6,,-20.154
