run_no,name,data_type,group,d34S_raw
1,NBS,standard,0,21.181
2,NBS,standard,0,21.236
3,NBS,standard,0,21.475
4,NBS,standard,0,21.258
5,NBS,standard,0,21.423
6,NBS,standard,0,21.576
8,S3,standard,0,-26.387
9,S3,standard,0,-27.226
10,S3,standard,0,-27.837
12,KC-2-0,normal,1,-15.482
13,KC-2-1,normal,1,-17.459
14,KC-2-2,normal,1,-12.231
16,KC-2-2.5,normal,1,-9.473
17,KC-2-3,normal,1,-11.809
18,KC-2-3.5,normal,1,-13.888
19,KC-2-4.5,normal,1,-14.582
20,KC-2-6,normal,1,-11.126
21,KC-2-6.5,normal,1,-16.104
22,KC-2-6p,duplicate,1,-10.531
23,KC-2-7,normal,1,-17.358
24,KC-2-8,normal,1,-7.459
25,KC-2-9,normal,1,-15.399
26,KC-2-9p,duplicate,1,-16.134
27,KC-2-10,normal,1,-6.345
28,KC-2-12,normal,1,-2.274
29,KC-2-13,normal,1,-12.024
30,KC-2-14,normal,1,-14.186
31,KC-2-14.5,normal,1,-10.016
32,KC-2-15.5,normal,1,-16.239
34,KC-2-16,normal,1,-16.732
35,KC-2-17,normal,1,-16.124
36,NBS,standard,2,21.065
37,NBS,standard,2,21.432
39,NBS,standard,2,21.558
40,NBS,standard,2,21.267
41,S3,standard,2,-26.449
43,S3,standard,2,-27.012
44,S3,standard,2,-26.574
45,KC-2-18,normal,3,-19.336
46,KC-2-20,normal,3,-16.035
47,KC-2-21,normal,3,-14.411
48,KC-2-21.5,normal,3,-15.683
49,KC-2-22,normal,3,-11.232
50,KC-2-24,normal,3,-17.96
51,KC-2-25,normal,3,-16.905
52,KC-2-25.5,normal,3,-16.881
53,KC-2-26,normal,3,-14.758
54,KC-2-26.5,normal,3,-20.062
55,KC-2-27,normal,3,-17.644
56,KC-2-28,normal,3,-16.543
57,KC-2-29,normal,3,-11.561
58,KC-3-A,duplicate,3,-11.016
59,KC-3-B,duplicate,3,-9.486
60,KC-3-C,duplicate,3,-4.806
61,KC-3-D,duplicate,3,-6.126
62,KC-3-E,duplicate,3,-12.379
64,KC-3-F,duplicate,3,-9.477
65,KC-3-H,duplicate,3,-13.298
66,KC-3-J,duplicate,3,-6.322
68,KC-3-B,repeat,3,-8.828
69,KC-2-21,repeat,3,-15.216
70,KC-2-8,repeat,3,-7.926
72,KC-2-2.5,repeat,3,-9.52
73,S3,standard,4,-27.238
74,S3,standard,4,-26.48
75,S3,standard,4,-27.917
76,NBS,standard,4,21.152
77,NBS,standard,4,21.111
78,NBS,standard,4,21.525
79,NBS,standard,4,21.187
80,NBS,standard,6,21.912
81,NBS,standard,6,22.039
82,NBS,standard,6,21.85
83,NBS,standard,6,22.007
84,NBS,standard,6,22.099
85,NBS,standard,6,22.054
86,S3,standard,6,-25.488
87,S3,standard,6,-26.463
88,KC-2-2,repeat,7,-10.728
89,KC-2-5,normal,7,-14.937
90,KC-2-11,normal,7,-13.657
91,KC-2-15,normal,7,-15.399
92,KC-2-19,normal,7,-14.182
93,KC-2-23,normal,7,-16.543
94,KC-2-27,repeat,7,-16.345
95,KC-2-22p,duplicate,7,-3.073
96,KC-3-G,duplicate,7,-4.8
97,KC-3-I,duplicate,7,-15.926
98,KC-3-K,duplicate,7,-12.007
99,KC-2-25.5,repeat,7,-16.143
100,KC-3-A,repeat,7,-9.266
101,KC-2-2,repeat,7,-11.218
102,KC-2-22p,repeat,7,-3.348
103,KC-3-I,repeat,7,-14.763
104,NBS,standard,8,22.123
105,NBS,standard,8,22.095
106,NBS,standard,8,22.074
107,NBS,standard,8,22.247
108,S3,standard,8,-25.811
109,S3,standard,8,-26.676
110,S3,standard,8,-26.577
