,sample,d18O_carb,d13C_carb,d18O_carb_err,d13C_carb_err,CaCO3,CaCO3_err
4,KC-2-0,-5.14,-4.51,0.0412182892466567,0.061550150711688525,78.96831168835881,47.38098701301528
5,KC-2-1,-4.57,-4.53,0.0412182892466567,0.061550150711688525,52.437573412322536,14.301156385178873
6,KC-2-2,-3.82,-1.28,0.0412182892466567,0.061550150711688525,0.6869456172857287,0.010052862691986271
7,KC-2-2.5,-4.21,1.24,0.0412182892466567,0.061550150711688525,36.077446636655516,21.646467981993307
8,KC-2-3,-3.56,0.12,0.0412182892466567,0.061550150711688525,5.342027799141596,0.6163878229778764
9,KC-2-3.5,-3.95,-0.21,0.0412182892466567,0.061550150711688525,1.414347828541277,0.02988058792692838
10,KC-2-4.5,-3.64,-0.71,0.0412182892466567,0.061550150711688525,24.26740134482194,6.618382184951438
11,KC-2-5,-3.16,-1.42,0.0412182892466567,0.061550150711688525,2.3251728541560643,0.03671325559193785
12,KC-2-6,-3.9,0.77,0.0412182892466567,0.061550150711688525,33.6544577235523,11.218152574517433
13,KC-2-6p,-3.5,0.39,0.0412182892466567,0.061550150711688525,30.58681605758568,13.108635453251004
16,KC-2-6.5,-2.95,-0.61,0.0412182892466567,0.061550150711688525,22.100695876329834,11.050347938164917
17,KC-2-7,-3.79,0.56,0.0412182892466567,0.061550150711688525,21.00969065047068,6.302907195141203
18,KC-2-8,-3.36,-3.39,0.0412182892466567,0.061550150711688525,39.92414195860628,17.1103465536884
19,KC-2-9,-6.12,-0.08,0.0412182892466567,0.061550150711688525,0.5158451718045617,0.0021765619063483614
20,KC-2-10,-3.99,-0.88,0.0412182892466567,0.061550150711688525,32.04243285629697,10.68081095209899
21,KC-2-11,-3.85,-1.37,0.0412182892466567,0.061550150711688525,11.679615324486853,4.37985574668257
22,KC-2-12,-3.5,-1.89,0.0412182892466567,0.061550150711688525,4.443696845525887,0.20198622025117663
23,KC-2-13,-4.01,-0.51,0.0412182892466567,0.061550150711688525,4.244239045918456,0.36379191822158186
24,KC-2-14,-3.94,0.33,0.0412182892466567,0.061550150711688525,9.412189561969445,2.3530473904923612
25,KC-2-14.5,-3.62,-0.22,0.0412182892466567,0.061550150711688525,34.35428558401263,20.612571350407574
28,KC-2-15,-4.08,0.01,0.0412182892466567,0.061550150711688525,2.0589888896620625,0.04230799088346704
29,KC-2-15.5,-3.89,-1.02,0.0412182892466567,0.061550150711688525,7.315607731835792,0.707962038564754
30,KC-2-16,-3.15,-0.79,0.0412182892466567,0.061550150711688525,42.31771593721071,15.869143476454013
31,KC-2-17,-3.43,-2.31,0.0412182892466567,0.061550150711688525,5.311429374908842,0.5311429374908841
32,KC-2-18,-3.24,-2.39,0.0412182892466567,0.061550150711688525,23.938294189173785,7.979431396391261
33,KC-2-19,-3.74,-0.07,0.0412182892466567,0.061550150711688525,3.561931486253957,0.2322998795383015
34,KC-2-20,-2.82,-1.79,0.0412182892466567,0.061550150711688525,41.255182481617936,20.627591240808968
35,KC-2-21,-3.63,-0.33,0.0412182892466567,0.061550150711688525,0.9832774673115287,0.0039970628752501155
36,KC-2-21.5,-3.67,-0.42,0.0412182892466567,0.061550150711688525,8.912901996428758,0.8912901996428757
37,KC-2-22,-4.17,-0.05,0.0412182892466567,0.061550150711688525,47.93868002364897,20.545148581563843
40,KC-2-22p,-4.75,-0.56,0.0412182892466567,0.061550150711688525,50.1680844780467,25.08404223902335
41,KC-2-23,-3.91,-1.28,0.0412182892466567,0.061550150711688525,0.8715611197028644,0.003404535623839314
42,KC-2-24,-3.9,-2.85,0.0412182892466567,0.061550150711688525,2.9276817153832217,0.011633172379006178
43,KC-2-25,-4.07,-1.21,0.0412182892466567,0.061550150711688525,0.13427282719782416,0.0005610285258962011
44,KC-2-25.5,-4.69,-0.73,0.0412182892466567,0.061550150711688525,1.4630675837230842,0.029656775345738188
45,KC-2-26,-3.21,-1.42,0.0412182892466567,0.061550150711688525,38.498785012352,14.437044379631997
46,KC-2-26.5,-4.03,-3.74,0.0412182892466567,0.061550150711688525,0.10200447651652893,0.0003908217491054748
47,KC-2-27,-3.14,-2.43,0.0412182892466567,0.061550150711688525,16.11178437815968,3.7181040872676183
48,KC-2-28,-3.23,-3.04,0.0412182892466567,0.061550150711688525,9.356483924491766,1.1695604905614707
49,KC-2-29,-4.1,-1.22,0.0412182892466567,0.061550150711688525,1.3695709254613384,0.09337983582690942
58,KC-2-30,-0.9,10.38,0.0412182892466567,0.061550150711688525,236.83561249399307,355.25341874098956
59,KC-3-A,-4.12,0.0,0.0412182892466567,0.061550150711688525,33.99281789193524,25.494613418951424
60,KC-3-B,-3.59,-2.69,0.0412182892466567,0.061550150711688525,67.04482946202522,40.22689767721513
61,KC-3-C,-3.34,-4.97,0.0412182892466567,0.061550150711688525,21.76233570794689,8.160875890480082
62,KC-3-D,-3.48,-6.41,0.0412182892466567,0.061550150711688525,80.4224351437021,40.21121757185105
63,KC-3-E,-4.03,-0.32,0.0412182892466567,0.061550150711688525,12.626611161607409,4.734979185602778
64,KC-3-F,-3.08,-3.21,0.0412182892466567,0.061550150711688525,65.46031355154899,32.730156775774496
65,KC-3-G,-3.34,-2.27,0.0412182892466567,0.061550150711688525,23.286724898605936,9.980024956545401
66,KC-3-H,-2.67,-1.57,0.0412182892466567,0.061550150711688525,15.378292809711208,6.59069691844766
67,KC-3-I,-3.02,-0.04,0.0412182892466567,0.061550150711688525,9.156356263923804,2.289089065980951
70,KC-3-J,-3.71,-8.58,0.0412182892466567,0.061550150711688525,92.19901954083527,55.31941172450115
71,KC-3-K,-3.71,-1.67,0.0412182892466567,0.061550150711688525,11.993905155688084,3.9979683852293615
